                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.2566,                 4.5405,                 1.7864,                0.00231,                0.10185,                0.00151,                0.00044,                 2.0693,                 5.0927,                 1.9764,                2.5e-05,                2.5e-05,                2.5e-05
                      2,                 2.3119,                 4.5168,                 1.8013,                0.00234,                0.06944,                0.00147,                0.00054,                 1.9682,                 4.9302,                 1.8858,             6.1881e-05,             6.1881e-05,             6.1881e-05
                      3,                 2.0872,                  3.649,                 1.7225,                0.31247,                0.06019,                0.05005,                0.02449,                 1.9432,                 3.3621,                 1.8527,              9.802e-05,              9.802e-05,              9.802e-05
                      4,                 1.9777,                 2.4891,                 1.6048,                0.62524,                0.23349,                0.13507,                0.06185,                 1.9326,                 3.6944,                 1.8133,             0.00013342,             0.00013342,             0.00013342
                      5,                  1.886,                  2.018,                 1.5041,                0.64259,                0.29247,                0.18383,                0.08732,                 1.8057,                 4.3358,                 1.6602,             0.00016807,             0.00016807,             0.00016807
                      6,                 1.8718,                 1.9253,                 1.4684,                0.65214,                 0.2506,                0.19339,                0.09021,                 1.8324,                 5.6916,                 1.6898,             0.00020198,             0.00020198,             0.00020198
                      7,                 1.7561,                 1.7822,                 1.3983,                 0.2168,                0.46723,                0.21058,                 0.1014,                 1.7983,                  5.581,                 1.6461,             0.00023515,             0.00023515,             0.00023515
                      8,                 1.7238,                 1.6265,                  1.399,                0.44493,                0.39401,                0.28119,                0.12546,                 1.7916,                 5.1711,                 1.6231,             0.00026758,             0.00026758,             0.00026758
                      9,                 1.7396,                 1.6743,                 1.4232,                0.27227,                0.36176,                0.30315,                 0.1377,                 1.7968,                 3.1073,                 1.5864,             0.00029926,             0.00029926,             0.00029926
                     10,                   1.69,                 1.5955,                 1.3559,                0.45514,                 0.3694,                 0.3195,                0.13474,                 1.7847,                 2.9503,                 1.5424,              0.0003302,              0.0003302,              0.0003302
                     11,                  1.659,                 1.5735,                 1.3513,                0.63509,                0.29831,                0.29004,                0.11584,                 1.7651,                 2.6687,                 1.5024,              0.0003604,              0.0003604,              0.0003604
                     12,                 1.6901,                 1.5936,                   1.32,                0.19881,                0.45812,                0.27498,                0.11653,                 1.7752,                 2.3677,                 1.5127,             0.00038986,             0.00038986,             0.00038986
                     13,                 1.6872,                  1.549,                 1.3559,                 0.8071,                0.19505,                0.27951,                0.12948,                 1.7788,                  2.276,                 1.5406,             0.00041857,             0.00041857,             0.00041857
                     14,                 1.7153,                 1.5956,                 1.3509,                 0.7422,                0.23531,                0.25777,                0.11682,                 1.7815,                  2.233,                  1.552,             0.00044654,             0.00044654,             0.00044654
                     15,                 1.6637,                 1.4403,                 1.2833,                0.70602,                0.22137,                0.28632,                0.11667,                 1.8375,                 2.9529,                 1.5518,             0.00047377,             0.00047377,             0.00047377
                     16,                 1.7121,                  1.488,                 1.3305,                0.68688,                0.35558,                0.37165,                0.14256,                 1.8171,                 3.2398,                 1.5494,             0.00050026,             0.00050026,             0.00050026
                     17,                 1.7483,                 1.5953,                 1.4003,                0.35672,                 0.4096,                0.40599,                0.16965,                 1.8714,                 2.5367,                 1.6101,               0.000526,               0.000526,               0.000526
                     18,                   1.66,                 1.4705,                 1.3361,                0.20296,                0.45223,                0.32716,                0.14065,                 1.8289,                 2.3121,                 1.5891,               0.000551,               0.000551,               0.000551
                     19,                 1.6269,                 1.3334,                 1.3087,                0.53647,                0.28171,                0.32509,                0.14555,                 1.8235,                 2.1741,                 1.6027,             0.00057526,             0.00057526,             0.00057526
                     20,                 1.5968,                 1.3445,                 1.2618,                 0.2248,                0.48941,                0.29616,                0.13842,                 1.8443,                  2.281,                 1.6412,             0.00059878,             0.00059878,             0.00059878
                     21,                   1.57,                 1.3836,                 1.3079,                0.35646,                0.44296,                0.33613,                0.15619,                 1.8378,                 2.0669,                  1.672,             0.00062155,             0.00062155,             0.00062155
                     22,                  1.586,                 1.3518,                 1.2716,                0.44227,                0.38331,                0.40836,                0.19591,                 1.8034,                 1.8593,                 1.6486,             0.00064358,             0.00064358,             0.00064358
                     23,                 1.5499,                 1.2817,                 1.2699,                0.61468,                0.30232,                0.41925,                 0.2071,                 1.7999,                 1.8659,                 1.6243,             0.00066487,             0.00066487,             0.00066487
                     24,                 1.5145,                 1.2399,                 1.2511,                0.40581,                0.43841,                 0.4345,                0.17847,                  1.815,                 1.9994,                 1.6033,             0.00068542,             0.00068542,             0.00068542
                     25,                 1.5896,                 1.2584,                 1.2671,                0.44644,                 0.2661,                0.39162,                 0.1569,                   1.89,                 2.0188,                 1.6312,             0.00070522,             0.00070522,             0.00070522
                     26,                 1.5197,                 1.1913,                 1.2303,                0.38229,                0.41655,                0.34636,                0.14469,                 1.8919,                 2.0224,                 1.6278,             0.00072428,             0.00072428,             0.00072428
                     27,                 1.5192,                 1.1735,                 1.2427,                0.34378,                 0.3453,                0.31082,                0.13707,                 1.8803,                 2.0526,                 1.5973,              0.0007426,              0.0007426,              0.0007426
                     28,                 1.5473,                 1.1288,                 1.2325,                0.38792,                  0.286,                0.33905,                 0.1519,                 1.8741,                  2.085,                 1.6023,             0.00076018,             0.00076018,             0.00076018
                     29,                 1.4836,                 1.2124,                 1.2714,                0.38792,                  0.286,                0.33905,                 0.1519,                 1.8741,                  2.085,                 1.6023,             0.00077701,             0.00077701,             0.00077701
                     30,                 1.5562,                  1.231,                 1.3024,                0.40044,                0.25503,                0.30905,                0.14705,                 1.9143,                 2.0501,                 1.6361,              0.0007931,              0.0007931,              0.0007931
                     31,                 1.5247,                 1.1703,                 1.2339,                0.39706,                0.31541,                0.34703,                0.15279,                 1.9017,                 2.0117,                 1.6015,             0.00080845,             0.00080845,             0.00080845
                     32,                 1.4681,                 1.1201,                 1.2303,                0.35236,                 0.4568,                0.36095,                0.16169,                 1.8797,                  1.998,                 1.5898,             0.00082306,             0.00082306,             0.00082306
                     33,                 1.4712,                 1.1223,                 1.2264,                0.35236,                 0.4568,                0.36095,                0.16169,                 1.8797,                  1.998,                 1.5898,             0.00083692,             0.00083692,             0.00083692
                     34,                 1.4724,                 1.1329,                 1.2413,                0.43605,                0.39175,                 0.3869,                0.16643,                 1.8735,                 2.0027,                 1.5943,             0.00084162,             0.00084162,             0.00084162
                     35,                 1.4822,                 1.1619,                 1.2546,                0.37446,                0.45221,                0.37729,                0.16165,                 1.8381,                 1.9404,                 1.5829,             0.00084162,             0.00084162,             0.00084162
                     36,                 1.4678,                 1.0974,                 1.2229,                0.38036,                0.42152,                0.36318,                0.16779,                 1.7741,                 1.7852,                 1.5168,             0.00082925,             0.00082925,             0.00082925
                     37,                 1.4477,                 1.1053,                 1.1955,                0.38036,                0.42152,                0.36318,                0.16779,                 1.7741,                 1.7852,                 1.5168,             0.00081688,             0.00081688,             0.00081688
                     38,                 1.4479,                 1.1236,                 1.1899,                  0.456,                 0.5553,                0.44413,                0.19489,                 1.8523,                 1.6851,                 1.5604,              0.0008045,              0.0008045,              0.0008045
                     39,                 1.4945,                 1.1546,                 1.2403,                 0.4663,                0.49597,                0.43251,                  0.187,                 1.9817,                 1.6391,                  1.666,             0.00079213,             0.00079213,             0.00079213
                     40,                 1.4445,                 1.1014,                 1.2179,                0.42446,                0.42843,                0.41323,                0.17663,                 1.9689,                 1.6175,                 1.6795,             0.00077975,             0.00077975,             0.00077975
                     41,                 1.4276,                 1.0834,                 1.2542,                0.42446,                0.42843,                0.41323,                0.17663,                 1.9689,                 1.6175,                 1.6795,             0.00076738,             0.00076738,             0.00076738
                     42,                 1.3992,                 1.0623,                 1.2067,                0.55719,                0.42155,                 0.4419,                0.17279,                 1.9701,                 1.6597,                 1.6805,               0.000755,               0.000755,               0.000755
                     43,                 1.4281,                 1.1476,                 1.1908,                0.39931,                0.46586,                0.40637,                0.17473,                 1.9427,                 1.6226,                 1.6686,             0.00074263,             0.00074263,             0.00074263
                     44,                  1.408,                 1.0622,                 1.1725,                0.35797,                 0.4426,                0.37672,                0.17723,                  1.875,                 1.6399,                 1.6206,             0.00073025,             0.00073025,             0.00073025
                     45,                 1.4645,                 1.0436,                 1.1962,                0.35797,                 0.4426,                0.37672,                0.17723,                  1.875,                 1.6399,                 1.6206,             0.00071788,             0.00071788,             0.00071788
                     46,                  1.456,                 1.0498,                 1.1828,                0.46089,                 0.5179,                0.39878,                0.16813,                 1.8584,                 1.6886,                 1.5896,              0.0007055,              0.0007055,              0.0007055
                     47,                 1.4103,                 1.0892,                 1.2066,                0.34694,                0.53866,                  0.397,                0.16745,                 1.8789,                 1.6607,                 1.6079,             0.00069313,             0.00069313,             0.00069313
                     48,                 1.4491,                 1.0266,                 1.1666,                0.38998,                0.51566,                0.43191,                0.18978,                 1.8951,                 1.5678,                 1.6402,             0.00068075,             0.00068075,             0.00068075
                     49,                 1.4029,                0.99542,                 1.1538,                0.38998,                0.51566,                0.43191,                0.18978,                 1.8951,                 1.5678,                 1.6402,             0.00066838,             0.00066838,             0.00066838
                     50,                 1.4334,                 1.0608,                 1.2079,                0.41051,                0.48643,                0.42443,                0.18547,                 1.8904,                 1.5919,                  1.638,               0.000656,               0.000656,               0.000656
                     51,                  1.373,                 1.0505,                 1.1802,                0.45209,                0.47882,                0.41966,                0.18932,                 1.8698,                 1.6207,                 1.6161,             0.00064362,             0.00064362,             0.00064362
                     52,                 1.4364,                 1.0276,                 1.1793,                0.42872,                0.46795,                0.41037,                0.18454,                  1.846,                 1.6744,                 1.6063,             0.00063125,             0.00063125,             0.00063125
                     53,                 1.3733,                  1.008,                 1.1751,                0.42872,                0.46795,                0.41037,                0.18454,                  1.846,                 1.6744,                 1.6063,             0.00061887,             0.00061887,             0.00061887
                     54,                 1.3922,                 1.0308,                   1.18,                0.36993,                0.47258,                0.40742,                0.18682,                 1.8532,                 1.7085,                 1.6055,              0.0006065,              0.0006065,              0.0006065
                     55,                 1.3922,                 1.0452,                 1.1975,                 0.4466,                0.48268,                0.45615,                0.20355,                 1.8321,                 1.6326,                 1.5837,             0.00059413,             0.00059413,             0.00059413
                     56,                 1.4194,                 1.0439,                 1.2201,                0.44053,                0.49678,                0.46581,                0.21745,                 1.8493,                 1.5447,                 1.5881,             0.00058175,             0.00058175,             0.00058175
                     57,                 1.4907,                 1.0679,                 1.2342,                0.44053,                0.49678,                0.46581,                0.21745,                 1.8493,                 1.5447,                 1.5881,             0.00056938,             0.00056938,             0.00056938
                     58,                 1.3406,                0.96517,                 1.1705,                0.44771,                0.51369,                0.45821,                0.21466,                 1.8552,                 1.5202,                 1.5941,               0.000557,               0.000557,               0.000557
                     59,                 1.3134,                0.90049,                 1.1428,                0.51132,                0.44618,                0.46577,                0.20933,                 1.8557,                 1.5472,                 1.6102,             0.00054463,             0.00054463,             0.00054463
                     60,                 1.3521,                 0.9655,                 1.1737,                0.58267,                0.44316,                0.45991,                0.21007,                 1.8468,                   1.54,                 1.6027,             0.00053225,             0.00053225,             0.00053225
                     61,                 1.3292,                0.91875,                 1.1533,                0.58267,                0.44316,                0.45991,                0.21007,                 1.8468,                   1.54,                 1.6027,             0.00051988,             0.00051988,             0.00051988
                     62,                   1.37,                0.94466,                   1.15,                0.55342,                  0.445,                0.46314,                0.21332,                 1.8665,                 1.5644,                 1.6045,              0.0005075,              0.0005075,              0.0005075
